"","feature","frequency"
"1420","not_as",47
"1421","the_summer",47
"1422","to_bed",47
"1423","yeah_i",47
"1424","hundreds_of",47
"1425","were_a",47
"1426","too_i",47
"1427","it_at",47
"1428","is_pretty",47
"1429","the_former",47
"1430","without_a",47
"1431","the_site",47
"1432","if_not",47
"1433","a_young",47
"1434","make_you",47
"1435","and_take",47
"1436","a_strong",47
"1437","and_go",47
"1438","i_live",47
"1439","trip_to",47
"1440","a_short",47
"1441","love_and",47
"1442","if_your",47
"1443","the_red",47
"1444","get_on",47
"1445","the_american",47
"1446","the_truth",47
"1447","he's_a",47
"1448","its_own",47
"1449","get_out",47
"1450","the_original",47
"1451","the_reason",47
"1452","the_number",47
"1453","health_care",47
"1454","idea_of",47
"1455","next_time",46
"1456","to_become",46
"1457","why_the",46
"1458","so_good",46
