"","feature","frequency"
"1112","took_a",63
"1113","the_good",64
"1114","it_just",60
"1115","the_air",59
"1116","love_and",43
"1117","have_done",43
"1118","i_haven't",58
"1119","has_the",60
"1120","before_we",24
"1121","made_me",47
"1122","quite_a",37
"1123","you_might",55
"1124","the_years",44
"1125","been_in",58
"1126","which_are",36
"1127","he_can",72
"1128","so_the",67
"1129","how_it",51
"1130","my_new",73
"1131","out_for",86
"1132","something_that",51
"1133","but_as",34
"1134","he_could",62
"1135","must_have",47
"1136","the_original",44
"1137","are_still",49
"1138","bottom_of",42
"1139","same_time",63
"1140","these_things",39
"1141","the_market",42
"1142","i'm_sure",55
"1143","idea_of",47
"1144","we_did",52
"1145","some_more",33
"1146","it_up",91
"1147","starting_to",51
"1148","were_in",55
"1149","about_to",103
"1150","the_days",37
"1151","and_no",58
"1152","as_long",52
"1153","from_his",50
"1154","live_in",89
"1155","in_time",47
"1156","have_it",48
"1157","my_mother",39
"1158","little_bit",58
"1159","sure_to",52
"1160","begin_to",31
"1161","to_join",58
"1162","a_really",43
"1163","here_i",43
"1164","a_large",54
"1165","my_mom",83
"1166","get_it",98
"1167","was_also",47
"1168","and_take",47
"1169","to_ask",55
"1170","look_like",63
"1171","a_woman",60
"1172","go_on",64
"1173","our_own",32
"1174","i_couldn't",51
"1175","with_us",70
"1176","time_we",28
"1177","the_car",48
"1178","him_i",43
"1179","in_for",51
"1180","return_to",39
"1181","back_of",43
"1182","though_the",37
"1183","the_power",53
"1184","have_any",60
"1185","ability_to",61
"1186","a_half",41
"1187","years_and",42
"1188","use_a",37
"1189","me_for",42
"1190","out_a",64
"1191","i_find",44
"1192","so_if",33
"1193","gave_me",43
"1194","need_a",101
"1195","of_any",38
"1196","which_he",46
"1197","one_to",40
"1198","the_blog",23
"1199","was_really",42
"1200","in_its",80
"1201","those_of",29
"1202","thought_it",49
"1203","to_and",52
"1204","of_how",45
"1205","she_could",39
"1206","none_of",45
"1207","i_needed",33
"1208","at_first",33
"1209","the_police",59
"1210","come_back",60
"1211","and_had",61
"1212","was_no",45
"1213","a_wonderful",56
"1214","the_room",40
"1215","you_don't",128
"1216","my_parents",33
"1217","that_all",49
"1218","one_thing",48
"1219","the_kitchen",36
"1220","someone_who",52
"1221","come_up",40
"1222","the_family",60
"1223","let_the",41
"1224","the_game",165
"1225","it_should",38
"1226","the_life",34
